time,open,high,low,close,Volume,Volume MA
2017-11-06T14:30:00Z,182.01,182.29,180.54,180.8,2022474,3506745.3
2017-11-07T14:30:00Z,181.23,181.78,180.11,180.88,2544173,3493072.5
2017-11-08T14:30:00Z,181.19,184.44,181.06,184.06,1791797,3443111.15
2017-11-09T14:30:00Z,182.88,183.079,179.03,181.92,2704613,3456832.15
2017-11-10T14:30:00Z,181,182.06,179.83,181.72,2082659,3435186.45
2017-11-13T14:30:00Z,180.5,182.32,179.75,181.85,1496104,3318332.55
2017-11-14T14:30:00Z,181.98,182.17,180.31,181.32,1549658,3218424.9
2017-11-15T14:30:00Z,180.92,181.7275,179.6043,180.08,1980859,3102920.5
2017-11-16T14:30:00Z,181.18,182.44,180.58,182.3,1961186,2524847.7
2017-11-17T14:30:00Z,182.08,182.9105,181.135,182.24,1482133,2297983.75
2017-11-20T14:30:00Z,182.8,183.43,181.34,182.34,1118117,2192848.9
2017-11-21T14:30:00Z,183.75,185.55,182.835,184.15,2036520,2161746.05
2017-11-22T14:30:00Z,184.32,184.5,182.62,182.9,1546690,2099797.8
2017-11-24T14:30:00Z,182.96,184.71,182.96,184.46,662064,2003842.75
2017-11-27T14:30:00Z,184.83,185.84,184.09,185,1305108,1928742.85
2017-11-28T14:30:00Z,185.62,186.27,184.37,185.4,1647026,1904883.15
2017-11-29T14:30:00Z,183.87,184.73,175.31,176.85,4320844,1988099.9
2017-11-30T14:30:00Z,178.14,181.67,176.5501,181.47,3976326,2086770.25
2017-12-01T14:30:00Z,179.51,182,177.13,179.52,3016883,2074497.4
2017-12-04T14:30:00Z,180.34,180.62,168.43,168.44,5931410,2258832.2
2017-12-05T14:30:00Z,167.69,171.78,165.68,167.54,4698710,2392644
2017-12-06T14:30:00Z,166.79,173.96,165.75,173.52,3773011,2454085.9
2017-12-07T14:30:00Z,173.46,175.9,172.13,174.61,2442047,2486598.4
2017-12-08T14:30:00Z,177.08,177.2,173.17,173.57,2101808,2456458.15
2017-12-11T14:30:00Z,173.77,174.98,173.2,174.31,2776719,2491161.15
2017-12-12T14:30:00Z,172.69,174.13,170.43,172.54,3924191,2612565.5
2017-12-13T14:30:00Z,173.5,177.42,173.29,176.83,4591716,2764668.4
2017-12-14T14:30:00Z,178.26,178.72,174.98,175,4720922,2901671.55
2017-12-15T14:30:00Z,179.36,179.98,174.3004,177.51,9191676,3263196.05
2017-12-18T14:30:00Z,178.42,179.15,175.31,176.74,3435384,3360858.6
2017-12-19T14:30:00Z,176.01,176.76,174.23,174.97,2509526,3430429.05
2017-12-20T14:30:00Z,176,176,172.92,174.25,2677319,3462469
2017-12-21T14:30:00Z,174.05,175.32,174,174.56,2164450,3493357
2017-12-22T14:30:00Z,173.99,175.1,173.75,175,1702630,3545385.3
2017-12-26T14:30:00Z,174.36,175,173.03,174.44,918355,3526047.65
2017-12-27T14:30:00Z,174.65,175.44,173.97,175.36,1527819,3520087.3
2017-12-28T14:30:00Z,175.92,176,174.85,175.55,1043660,3356228.1
2017-12-29T14:30:00Z,175.19,176.97,175.1,175.24,1810263,3247924.95
2018-01-02T14:30:00Z,175.85,177.8,175.26,177.7,2432814,3218721.5
2018-01-03T14:30:00Z,178,181.89,177.7,181.04,2561213,3050211.65
2018-01-04T14:30:00Z,181.93,184.0599,181.64,183.22,2211383,2925845.3
2018-01-05T14:30:00Z,185,185.9,183.54,185.34,2376524,2856020.95
2018-01-08T14:30:00Z,184.95,185.599,183.83,185.04,2087952,2838316.2
2018-01-09T14:30:00Z,185.57,186.97,183.9314,186.7,1804423,2823446.95
2018-01-10T14:30:00Z,185.21,187.27,185.073,187.11,1664485,2767835.25
2018-01-11T14:30:00Z,187.29,188.94,186.185,188.92,1600065,2651628.95
2018-01-12T14:30:00Z,189.09,195.5,188.99,195.05,4246044,2634345.35
2018-01-16T14:30:00Z,195.92,198.21,191.71,192.46,4595560,2628077.25
2018-01-17T14:30:00Z,194.015,197.12,192.77,196.49,2969469,2316966.9
2018-01-18T14:30:00Z,196.21,196.586,194.06,196.2,2539356,2272165.5
2018-01-19T14:30:00Z,196.24,196.63,194.65,195.73,2342979,2263838.15
2018-01-22T14:30:00Z,195.7,198,194.424,197.84,1701342,2215039.3
2018-01-23T14:30:00Z,202.29,204.45,199.44,200.09,3980994,2305866.5
2018-01-24T14:30:00Z,201.82,202.3,196.52,197.78,3250450,2383257.5
2018-01-25T14:30:00Z,198.08,199.244,196.07,197.51,2574213,2466050.4
2018-01-26T14:30:00Z,198.5,201.55,198.25,201.3,2338080,2506563.45
2018-01-29T14:30:00Z,200.11,200.86,197.87,198.23,1938978,2551329.35
2018-01-30T14:30:00Z,197.25,197.73,194.89,196.9,3343348,2627983.6
2018-01-31T14:30:00Z,197.13,200.96,196.75,199.76,2747576,2643721.7
2018-02-01T14:30:00Z,199.12,201.75,198.0845,199.38,2366120,2633967.05
2018-02-02T14:30:00Z,197.33,199.4,195.44,195.64,2813785,2664087.15
2018-02-05T14:30:00Z,194.06,198.46,188,190.27,3801346,2735328.25
2018-02-06T14:30:00Z,186.59,194.82,182.1,194.47,4479960,2854928.65
2018-02-07T14:30:00Z,193.87,196.24,192.02,192.34,2988024,2914108.7
2018-02-08T14:30:00Z,192.84,192.97,185.02,185.16,3978688,3029818.85
2018-02-09T14:30:00Z,187.33,189.71,179.34,187.99,3818835,3140757.35
2018-02-12T14:30:00Z,189,192.99,188.56,192.15,2824726,3069691.45
2018-02-13T14:30:00Z,190.85,194.31,190.39,193.48,1961306,2937978.75
2018-02-14T14:30:00Z,192.48,197.5,191.95,197.13,2542392,2916624.9
2018-02-15T14:30:00Z,198.97,203.28,197.13,202.97,2233313,2901322.75
2018-02-16T14:30:00Z,202.52,203.9,200.74,201.56,2172590,2892803.3
2018-02-20T14:30:00Z,200.46,205.115,199.18,202.98,2722668,2943869.6
2018-02-21T14:30:00Z,204.45,206.83,202.02,202.09,2043494,2846994.6
2018-02-22T14:30:00Z,203.07,204.22,201.68,202.61,1541519,2761548.05
2018-02-23T14:30:00Z,204.22,209.78,203.31,209.74,2349265,2750300.65
2018-02-26T14:30:00Z,211.29,212.35,209.261,212.15,2418674,2754330.35
2018-02-27T14:30:00Z,211.99,212.76,208.25,208.82,2330752,2773919.05
2018-02-28T14:30:00Z,210.69,213.44,209.1,209.13,2356944,2724598.85
2018-03-01T14:30:00Z,210.32,210.6834,204.45,206.03,2632234,2718831.75
2018-03-02T14:30:00Z,203.96,210.21,201.76,209.79,2624675,2731759.5
2018-03-05T14:30:00Z,208.75,212,206.92,211.16,2111808,2696660.65
2018-03-06T14:30:00Z,212.44,212.74,209.88,212.01,2169010,2615043.85
2018-03-07T14:30:00Z,211.33,217.44,211.0033,216.86,2795072,2530799.45
2018-03-08T14:30:00Z,218.03,219.71,214.86,216.4,2284446,2495620.55
2018-03-09T14:30:00Z,218,221.27,217.19,221.11,2642259,2428799.1
2018-03-12T13:30:00Z,222.97,223.11,220.34,220.94,3216924,2398703.55
2018-03-13T13:30:00Z,223,224.9,218.43,219.76,4731961,2494065.3
2018-03-14T13:30:00Z,220.75,221.46,217.6,218.44,3357597,2563879.85
2018-03-15T13:30:00Z,220,221.47,218.061,218.87,4457006,2659610.55
2018-03-16T13:30:00Z,227.18,228.88,224,225.55,8783042,2987097
2018-03-19T13:30:00Z,224.48,226.59,218.68,222.18,4029302,3079932.6
2018-03-20T13:30:00Z,223.19,231.34,223,229.75,5019294,3194763.9
2018-03-21T13:30:00Z,228.76,229.25,225.61,226.85,3971832,3291180.8
2018-03-22T13:30:00Z,223.86,225.87,220.255,220.52,3008694,3364539.55
2018-03-23T13:30:00Z,219.52,222.455,214.78,215.02,4297236,3461938.1
2018-03-26T13:30:00Z,218.83,229.15,218.5,228.91,4485445,3565276.65
2018-03-27T13:30:00Z,229.9,230.98,212.25,213.8,5468070,3722142.55
2018-03-28T13:30:00Z,213.72,217.15,209.04,212.54,4503154,3829453.05
2018-03-29T13:30:00Z,213.35,219.59,210.2737,216.08,3757447,3885713.7
2018-04-02T13:30:00Z,214.81,216.5,207.22,212.28,3494946,3929227.25
2018-04-03T13:30:00Z,214.78,217.8549,212.28,215.93,3017824,3974528.05
2018-04-04T13:30:00Z,210.71,226.28,210.5,225.05,4474394,4089797.25
2018-04-05T13:30:00Z,227.94,228.8,221.605,223.54,4084913,4154289.3
2018-04-06T13:30:00Z,221.89,224.46,216.7471,218.61,2964487,4188291.35
2018-04-09T13:30:00Z,220.08,224.437,218.82,219.17,2536139,4182985.35
2018-04-10T13:30:00Z,222.61,225.16,221.181,224.53,2845870,4164432.65
2018-04-11T13:30:00Z,222.93,226.62,222.54,223.63,1851054,4020387.3
2018-04-12T13:30:00Z,225.72,228.39,225.115,226.96,2084110,3956712.95
2018-04-13T13:30:00Z,228.85,228.95,222.55,224.06,2029265,3835325.9
2018-04-16T13:30:00Z,226.08,227.23,222.9535,226.52,2130698,3502708.7
2018-04-17T13:30:00Z,228.56,232.21,228.07,231.16,3404449,3471466.05
2018-04-18T13:30:00Z,231.7,233.1713,228.62,231.1,2261576,3333580.15
2018-04-19T13:30:00Z,230.11,230.43,226.28,227.62,2620107,3265993.9
2018-04-20T13:30:00Z,227,227.6,223.05,225.24,2403683,3235743.35
2018-04-23T13:30:00Z,226.39,229.15,224.75,225.3,2137988,3127780.95
2018-04-24T13:30:00Z,227,228.3,215.778,217.89,3450849,3076051.15
2018-04-25T13:30:00Z,218.16,219.4,213.25,217.32,2946092,2949952.25
2018-04-26T13:30:00Z,219.77,223.19,218.851,221.91,2235942,2836591.65
2018-04-27T13:30:00Z,223.08,224.18,219.68,221.9,1503148,2723876.7
2018-04-30T13:30:00Z,223.27,224.14,219.538,221.6,1766330,2637445.9
2018-05-01T13:30:00Z,220.77,224.49,219.38,224.08,1792948,2576202.1
2018-05-02T13:30:00Z,224.3,224.5,220.55,221.1,2202895,2462627.15
2018-05-03T13:30:00Z,220.01,227.37,218.7396,226.05,2507925,2383777.75
2018-05-04T13:30:00Z,223.89,229.39,223.39,228.51,1663737,2318740.25
2018-05-07T13:30:00Z,229.54,232.36,229.02,230.99,1808338,2282350.2
2018-05-08T13:30:00Z,229.74,234.9971,228.75,234.56,2244572,2252285.3
2018-05-09T13:30:00Z,235,240.15,233.525,239.74,3091588,2314312
2018-05-10T13:30:00Z,240.46,241.76,238.24,241.15,1941395,2307176.25
2018-05-11T13:30:00Z,241.03,241.93,238.7901,241.88,2261704,2318798.2
2018-05-14T13:30:00Z,242,243.34,237.24,238.37,2670821,2345804.35
2018-05-15T13:30:00Z,235.64,237.345,233,236.6,2130349,2282099.35
2018-05-16T13:30:00Z,236.59,238.12,235.8396,237.39,1843652,2261203.15
2018-05-17T13:30:00Z,237.32,239.665,234.8288,236.85,1690642,2214729.9
2018-05-18T13:30:00Z,236.24,239.28,235.2581,238.09,1888196,2188955.55
2018-05-21T13:30:00Z,239.85,240.78,237.11,238.1,1757941,2169953.2
2018-05-22T13:30:00Z,241.15,243.49,237.76,238.79,2950223,2144921.9
2018-05-23T13:30:00Z,236.32,244.09,236,243.91,2757629,2135498.75
