time,open,high,low,close,Volume,Volume MA
2017-11-06T14:30:00Z,34.37,34.56,34.26,34.41,12786917,16052537.65
2017-11-07T14:30:00Z,34.32,34.48,34.2147,34.4,11332941,15718633.25
2017-11-08T14:30:00Z,34.31,34.5,34.12,34.5,13061334,15743631.25
2017-11-09T14:30:00Z,34.29,34.32,33.871,34.05,16784991,15687600.75
2017-11-10T14:30:00Z,34.06,34.09,33.67,33.99,19319360,15974627.85
2017-11-13T14:30:00Z,33.86,34.21,33.83,33.95,16441540,16271252
2017-11-14T14:30:00Z,33.86,34.16,33.8,34.04,17468535,16679522.9
2017-11-15T14:30:00Z,33.97,34.31,33.75,34.11,30829556,17722438.4
2017-11-16T14:30:00Z,36.04,36.67,35.83,35.88,61177066,20121136.15
2017-11-17T14:30:00Z,35.9,36.32,35.81,35.9,27987968,20302466.95
2017-11-20T14:30:00Z,35.93,36.54,35.93,36.5,26897844,20515760.85
2017-11-21T14:30:00Z,36.75,36.97,36.58,36.65,24146384,20909072.3
2017-11-22T14:30:00Z,36.7,36.715,36.36,36.45,17226399,20900347.7
2017-11-24T14:30:00Z,36.41,36.57,36.32,36.49,6145623,20476823.7
2017-11-27T14:30:00Z,36.51,37.09,36.5,36.87,20942222,20506104.95
2017-11-28T14:30:00Z,37,37.8,36.98,37.73,30966601,21137180.65
2017-11-29T14:30:00Z,37.75,38.025,37.23,37.48,36788586,22279853.95
2017-11-30T14:30:00Z,37.62,37.8,37.3,37.3,30749464,22714764.4
2017-12-01T14:30:00Z,37.09,37.66,36.73,37.6,26920869,23069427.7
2017-12-04T14:30:00Z,37.81,37.99,37.54,37.72,29414445,23869432.25
2017-12-05T14:30:00Z,37.74,37.82,37.17,37.31,23288151,24394493.95
2017-12-06T14:30:00Z,37.37,37.72,37.25,37.41,16581847,24656939.25
2017-12-07T14:30:00Z,37.26,37.78,37.26,37.4,17091998,24858472.45
2017-12-08T14:30:00Z,37.59,37.69,37.42,37.61,14044372,24721441.5
2017-12-11T14:30:00Z,37.59,38.04,37.57,37.96,16749521,24592949.55
2017-12-12T14:30:00Z,37.79,38.1,37.56,37.91,16658592,24603802.15
2017-12-13T14:30:00Z,38.09,38.37,38,38.15,20199475,24740349.15
2017-12-14T14:30:00Z,38.2,38.27,37.855,37.9,16738342,24035788.45
2017-12-15T14:30:00Z,38.01,38.28,37.7,38.19,47167680,23335319.15
2017-12-18T14:30:00Z,38.48,38.89,38.3,38.48,21591404,23015490.95
2017-12-19T14:30:00Z,38.66,38.86,38.28,38.3,19695238,22655360.65
2017-12-20T14:30:00Z,38.49,38.8,38.21,38.74,18939533,22395018.1
2017-12-21T14:30:00Z,38.88,38.995,38.49,38.53,16387522,22353074.25
2017-12-22T14:30:00Z,38.52,38.74,38.47,38.55,11441622,22617874.2
2017-12-26T14:30:00Z,38.55,38.68,38.36,38.48,8186082,21980067.2
2017-12-27T14:30:00Z,38.54,38.65,38.45,38.56,10543034,20958888.85
2017-12-28T14:30:00Z,38.73,38.73,38.45,38.59,8807745,19559846.8
2017-12-29T14:30:00Z,38.41,38.62,38.3,38.3,12583621,18651554.65
2018-01-02T14:30:00Z,38.67,38.95,38.43,38.86,20135657,18312294.05
2018-01-03T14:30:00Z,38.72,39.285,38.53,39.17,29536019,18318372.75
2018-01-04T14:30:00Z,39.05,39.54,38.93,38.99,20731358,18190533.1
2018-01-05T14:30:00Z,39.55,39.88,39.365,39.53,24588152,18590848.35
2018-01-08T14:30:00Z,39.52,39.96,39.35,39.94,16581967,18565346.8
2018-01-09T14:30:00Z,39.79,39.96,39.54,39.69,21449790,18935617.7
2018-01-10T14:30:00Z,39.65,40.24,39.63,39.91,19473023,19071792.8
2018-01-11T14:30:00Z,40.14,40.21,39.75,40.1,21685577,19323142.05
2018-01-12T14:30:00Z,40.22,40.93,40.05,40.87,23770515,19501694.05
2018-01-16T14:30:00Z,40.9,41.16,40.32,40.54,32844965,20307025.2
2018-01-17T14:30:00Z,40.84,41.32,40.705,41.2,24427130,19169997.7
2018-01-18T14:30:00Z,41.24,41.48,41.03,41.3,19610169,19070935.95
2018-01-19T14:30:00Z,41.28,41.52,41.1,41.29,24582041,19315276.1
2018-01-22T14:30:00Z,41.2,41.66,41.02,41.66,22995116,19518055.25
2018-01-23T14:30:00Z,41.54,42.13,41.54,42.1,23984518,19897905.05
2018-01-24T14:30:00Z,42.2,42.685,42.01,42.17,26696212,20660634.55
2018-01-25T14:30:00Z,42.27,42.47,41.82,41.9,19207511,21211706
2018-01-26T14:30:00Z,42.15,42.56,41.95,42.56,23380407,21853574.65
2018-01-29T14:30:00Z,42.3,42.98,42.3,42.85,23625873,22594481.05
2018-01-30T14:30:00Z,42.685,42.86,41.97,42.25,28993938,23414996.9
