time,open,high,low,close,Volume,Volume MA
2017-11-17T14:30:00Z,1034.01,1034.42,1017.75,1019.09,1397064,1427240.85
2017-11-20T14:30:00Z,1020.26,1022.61,1017.5,1018.38,953470,1400991.95
2017-11-21T14:30:00Z,1023.31,1035.11,1022.655,1034.49,1096999,1395234.25
2017-11-22T14:30:00Z,1035,1039.706,1031.43,1035.96,746878,1372015.05
2017-11-24T14:30:00Z,1035.87,1043.178,1035,1040.61,534879,1296651.55
2017-11-27T14:30:00Z,1040,1055.46,1038.44,1054.21,1307881,1103661.15
2017-11-28T14:30:00Z,1055.09,1062.375,1040,1047.41,1424394,1070627.75
2017-11-29T14:30:00Z,1042.68,1044.08,1015.65,1021.66,2459426,1127029.5
2017-11-30T14:30:00Z,1022.37,1028.4899,1015,1021.41,1724031,1144558.85
2017-12-01T14:30:00Z,1015.8,1022.4897,1002.02,1010.17,1909566,1187588.65
2017-12-04T14:30:00Z,1012.66,1016.1,995.57,998.68,1906439,1229093.1
2017-12-05T14:30:00Z,995.94,1020.61,988.28,1005.15,2067318,1276199.75
2017-12-06T14:30:00Z,1001.5,1024.97,1001.14,1018.38,1271964,1284181.4
2017-12-07T14:30:00Z,1020.43,1034.24,1018.071,1030.93,1458242,1302657.7
2017-12-08T14:30:00Z,1037.49,1042.05,1032.5222,1037.05,1290774,1304934.1
2017-12-11T14:30:00Z,1035.5,1043.8,1032.0504,1041.1,1192838,1328542.2
2017-12-12T14:30:00Z,1039.63,1050.31,1033.6897,1040.48,1279659,1348236.2
2017-12-13T14:30:00Z,1046.12,1046.665,1038.38,1040.61,1282677,1364408.95
2017-12-14T14:30:00Z,1045,1058.5,1043.11,1049.15,1558835,1399651.1
2017-12-15T14:30:00Z,1054.61,1067.62,1049.5,1064.19,3275931,1506963.25
2017-12-18T14:30:00Z,1066.08,1078.49,1062,1077.14,1554552,1514837.65
2017-12-19T14:30:00Z,1075.2,1076.84,1063.55,1070.68,1338725,1534100.4
2017-12-20T14:30:00Z,1071.78,1073.38,1061.52,1064.95,1268582,1542679.55
2017-12-21T14:30:00Z,1064.95,1069.33,1061.7938,1063.63,995703,1555120.8
2017-12-22T14:30:00Z,1061.11,1064.2,1059.44,1060.12,755095,1566131.6
2017-12-26T14:30:00Z,1058.07,1060.12,1050.2,1056.74,761237,1538799.4
2017-12-27T14:30:00Z,1057.39,1058.37,1048.05,1049.37,1271911,1531175.25
2017-12-28T14:30:00Z,1051.6,1054.75,1044.77,1048.14,837121,1450060
2017-12-29T14:30:00Z,1046.72,1049.7,1044.9,1046.4,887511,1408234
