time,open,high,low,close,Volume,Volume MA
2017-11-06T14:30:00Z,46.6,46.74,46.09,46.7,34034971,32214207.5
2017-11-07T14:30:00Z,46.7,47.09,46.39,46.78,24461371,31942775.2
2017-11-08T14:30:00Z,46.62,46.7,46.28,46.7,21565759,31483327.75
2017-11-09T14:30:00Z,46.05,46.39,45.65,46.3,25570358,31847498.45
2017-11-10T14:30:00Z,46.04,46.09,45.38,45.58,24095354,32210797.85
2017-11-13T14:30:00Z,45.26,45.94,45.25,45.75,18999002,32536291.2
2017-11-14T14:30:00Z,45.7,45.92,45.32,45.86,22201170,32869708.8
2017-11-15T14:30:00Z,45.39,45.805,45.1725,45.46,17157204,32656341.3
2017-11-16T14:30:00Z,45.63,46.07,45.46,45.65,26439406,33017176.35
2017-11-17T14:30:00Z,45.5,45.62,44.62,44.63,63798040,35290294.75
2017-11-20T14:30:00Z,44.73,45.115,44.5,44.62,22420003,34978946.6
2017-11-21T14:30:00Z,44.72,45.22,44.71,44.94,21871027,35089877.1
2017-11-22T14:30:00Z,44.94,44.95,44.535,44.65,19538331,34865210.65
2017-11-24T14:30:00Z,44.55,44.775,44.43,44.75,6455827,33275632.25
2017-11-27T14:30:00Z,44.42,44.61,44.2736,44.49,18202115,29684323
2017-11-28T14:30:00Z,44.65,44.84,44.32,44.73,20194062,28285950.2
2017-11-29T14:30:00Z,44.85,45.09,43.77,43.95,27036870,27287747.7
2017-11-30T14:30:00Z,44.36,45.2,44.33,44.84,34145303,26604326.65
2017-12-01T14:30:00Z,44.73,44.84,43.53,44.68,26656272,25707027.75
2017-12-04T14:30:00Z,45.02,45.3,44.33,44.49,28000791,25142161.8
2017-12-05T14:30:00Z,44.6,44.9,43.23,43.44,30626850,24971755.75
2017-12-06T14:30:00Z,43.14,43.72,42.67,43.45,27710812,25134227.8
2017-12-07T14:30:00Z,43.46,43.6,42.78,43.08,32708441,25691361.9
2017-12-08T14:30:00Z,43.35,43.58,43.11,43.35,23154749,25570581.45
2017-12-11T14:30:00Z,43.28,43.78,43.25,43.66,20425900,25387108.75
2017-12-12T14:30:00Z,43.47,43.62,43.08,43.33,16557398,25265028.55
2017-12-13T14:30:00Z,43.65,43.66,43.24,43.34,21399460,25224943.05
