time,open,high,low,close,Volume,Volume MA
2017-12-18T14:30:00Z,87.12,87.4999,86.23,86.38,22283752,24945776.5
2017-12-19T14:30:00Z,86.35,86.35,85.27,85.83,23524787,25306266.95
2017-12-20T14:30:00Z,86.2,86.3,84.71,85.52,23674931,25428140.8
2017-12-21T14:30:00Z,86.05,86.1,85.4,85.5,17990745,25300023.6
2017-12-22T14:30:00Z,85.4,85.63,84.92,85.51,14145841,25647463.95
2017-12-26T14:30:00Z,85.31,85.5346,85.03,85.4,9891237,25228763.7
2017-12-27T14:30:00Z,85.65,85.98,85.215,85.71,14678025,24866367
2017-12-28T14:30:00Z,85.9,85.93,85.55,85.72,10594344,24027028.75
2017-12-29T14:30:00Z,85.63,86.05,85.5,85.54,18717406,23310166.7
2018-01-02T14:30:00Z,86.125,86.31,85.5,85.95,22483797,22957749.95
2018-01-03T14:30:00Z,86.055,86.51,85.97,86.35,26061439,22306077.9
2018-01-04T14:30:00Z,86.59,87.66,86.57,87.11,21911974,22094063.55
2018-01-05T14:30:00Z,87.66,88.41,87.43,88.19,23407110,21956316.35
2018-01-08T14:30:00Z,88.2,88.58,87.6046,88.28,22113049,21902741.45
2018-01-09T14:30:00Z,88.65,88.7272,87.86,88.22,19484317,21652502
2018-01-10T14:30:00Z,87.86,88.19,87.41,87.82,18652201,21442219.35
2018-01-11T14:30:00Z,88.13,88.13,87.24,88.08,17808877,21136457.95
2018-01-12T14:30:00Z,88.67,89.78,88.45,89.6,24271531,21246900.55
2018-01-16T14:30:00Z,90.1,90.79,88.0104,88.35,36599736,22111589.3
2018-01-17T14:30:00Z,89.08,90.28,88.75,90.14,25621164,20695813.15
2018-01-18T14:30:00Z,89.8,90.67,89.66,90.1,24159683,20789609.7
2018-01-19T14:30:00Z,90.14,90.61,89.66,90,36875013,21457121
2018-01-22T14:30:00Z,90,91.62,89.74,91.61,23601555,21453452.2
2018-01-23T14:30:00Z,91.9,92.3,91.54,91.9,23412841,21724557
2018-01-24T14:30:00Z,92.55,93.43,91.58,91.82,33277483,22681139.1
2018-01-25T14:30:00Z,92.465,93.24,91.93,92.33,26383238,23505739.15
2018-01-26T14:30:00Z,93.12,94.06,92.58,94.06,29172167,24230446.25
2018-01-29T14:30:00Z,95.14,95.45,93.72,93.92,31569940,25279226.05
2018-01-30T14:30:00Z,93.3,93.66,92.1,92.74,38635053,26275108.4
2018-01-31T14:30:00Z,93.75,95.4,93.51,95.01,48756338,27588735.45
2018-02-01T14:30:00Z,94.79,96.07,93.5813,94.26,47227882,28647057.6
2018-02-02T14:30:00Z,93.64,93.97,91.5,91.78,47867753,29944846.55
2018-02-05T14:30:00Z,90.56,93.24,88,88,51031465,31326064.3
2018-02-06T14:30:00Z,86.89,91.475,85.25,91.33,67998564,33620340.05
2018-02-07T14:30:00Z,90.49,91.77,89.2,89.61,41107592,34701503.8
2018-02-08T14:30:00Z,89.71,89.875,84.76,85.01,55628657,36550326.6
2018-02-09T14:30:00Z,86.3,88.93,83.83,88.18,63499065,38834836
2018-02-12T14:30:00Z,88.735,89.78,87.9295,89.13,35720341,39407276.5
2018-02-13T14:30:00Z,88.93,90,87.8,89.83,26407702,38897674.8
2018-02-14T14:30:00Z,88.51,90.99,88.41,90.81,34960912,39364662.2
2018-02-15T14:30:00Z,91.21,92.72,90.62,92.66,27823866,39547871.35
2018-02-16T14:30:00Z,92.45,93.5,91.8,92,30596919,39233966.65
2018-02-20T14:30:00Z,91.475,93.06,91.01,92.72,30911725,39599475.15
2018-02-21T14:30:00Z,92.98,93.3595,91.49,91.49,26922503,39774958.25
2018-02-22T14:30:00Z,92.05,92.73,91.36,91.73,24392753,39330721.75
2018-02-23T14:30:00Z,92.75,94.07,92.36,94.06,26329226,39328021.15
2018-02-26T14:30:00Z,94.4,95.45,94.25,95.42,30199846,39379405.1
2018-02-27T14:30:00Z,95.74,95.84,94.2,94.2,25869119,39094364.05
2018-02-28T14:30:00Z,94.84,95.705,93.63,93.77,31167338,38720978.3
2018-03-01T14:30:00Z,93.99,94.57,91.84,92.85,37135561,38139939.45
2018-03-02T14:30:00Z,91.58,93.15,90.86,93.05,32830389,37420064.8
2018-03-05T14:30:00Z,92.34,94.27,92.26,93.64,23901578,36221756.05
2018-03-06T14:30:00Z,94.34,94.49,92.941,93.32,22175776,34778971.6
2018-03-07T14:30:00Z,93.16,93.9406,92.43,93.86,26716127,32714849.75
2018-03-08T14:30:00Z,94.27,95.1,93.765,94.43,25887828,31953861.55
2018-03-09T14:30:00Z,95.29,96.54,95,96.54,36937254,31019291.4
2018-03-12T13:30:00Z,96.5,97.21,96.04,96.77,26073742,29148025.25
2018-03-13T13:30:00Z,97,97.24,93.97,94.41,35387817,29131399.05
2018-03-14T13:30:00Z,95.12,95.41,93.5,93.85,32131981,29417613
2018-03-15T13:30:00Z,93.53,94.58,92.83,94.18,27610998,29050117.3
2018-03-16T13:30:00Z,94.68,95.38,93.92,94.6,49081279,30112987.95
2018-03-19T13:30:00Z,93.74,93.9,92.11,92.89,33344085,30250346.25
2018-03-20T13:30:00Z,93.05,93.77,93,93.13,23075240,29858522
2018-03-21T13:30:00Z,92.93,94.05,92.21,92.48,24457082,29735250.95
2018-03-22T13:30:00Z,91.265,91.75,89.66,89.79,38604715,30445849.05
2018-03-23T13:30:00Z,89.5,90.46,87.08,87.18,44068949,31332835.2
2018-03-26T13:30:00Z,90.61,94,90.4,93.78,56396780,32642681.9
2018-03-27T13:30:00Z,94.94,95.139,88.51,89.47,56569011,34177676.5
2018-03-28T13:30:00Z,89.82,91.23,88.873,89.39,52501146,35244366.9
2018-03-29T13:30:00Z,90.18,92.29,88.4,91.27,45867548,35680966.25
2018-04-02T13:30:00Z,90.47,90.88,87.51,88.52,48515417,36465217.65
2018-04-03T13:30:00Z,89.575,90.05,87.89,89.71,37213837,37130830.6
2018-04-04T13:30:00Z,87.85,92.76,87.73,92.33,35559956,37800039.6
2018-04-05T13:30:00Z,92.435,93.065,91.4,92.38,29771881,37952827.3
2018-04-06T13:30:00Z,91.49,92.46,89.48,90.23,38026000,38559735.9
2018-04-09T13:30:00Z,91.04,93.17,90.62,90.77,31533943,38289570.35
2018-04-10T13:30:00Z,92.39,93.28,91.64,92.88,26939883,38332877.4
2018-04-11T13:30:00Z,92.01,93.29,91.48,91.86,24872110,37807092.05
2018-04-12T13:30:00Z,92.43,94.16,92.43,93.58,26758879,37538436.95
2018-04-13T13:30:00Z,94.05,94.18,92.44,93.08,23346063,37325190.2
2018-04-16T13:30:00Z,94.07,94.66,93.42,94.17,20288083,35885530.4
2018-04-17T13:30:00Z,95,96.54,94.88,96.07,26771000,35556876.15
2018-04-18T13:30:00Z,96.22,96.72,95.52,96.44,21043287,35455278.5
2018-04-19T13:30:00Z,96.44,97.07,95.34,96.11,23552541,35410051.45
2018-04-20T13:30:00Z,95.91,96.11,94.05,95,31154377,35037534.55
2018-04-23T13:30:00Z,95.7436,96.29,94.63,95.35,22331829,33950678.55
2018-04-24T13:30:00Z,96.242,96.47,92.41,93.12,34524799,32857079.5
2018-04-25T13:30:00Z,93.3,93.3,90.28,92.31,33729257,31715091.8
2018-04-26T13:30:00Z,93.55,95.15,93.1,94.26,42529043,31216486.65
2018-04-27T13:30:00Z,97.6,97.9,93.91,95.82,48272780,31336748.25
2018-04-30T13:30:00Z,96.33,96.3964,93.15,93.52,41523605,30987157.65
2018-05-01T13:30:00Z,93.21,95.29,92.79,95,31408927,30696912.15
2018-05-02T13:30:00Z,94.99,95.17,93.19,93.51,27471002,30292464.45
2018-05-03T13:30:00Z,92.96,94.925,92.45,94.07,31142497,30360995.25
2018-05-04T13:30:00Z,93.32,95.37,92.92,95.16,22531325,29586261.5
2018-05-07T13:30:00Z,95.17,96.71,95.1,96.22,24242019,29221665.3
2018-05-08T13:30:00Z,95.8456,96.16,95.0631,95.81,23484589,29048900.6
2018-05-09T13:30:00Z,96.01,96.97,95.05,96.94,27327410,29171665.6
2018-05-10T13:30:00Z,97.46,97.95,97.05,97.91,22388119,28953127.6
2018-05-11T13:30:00Z,97.8,97.87,97.04,97.7,16778316,28624740.25
2018-05-14T13:30:00Z,97.92,98.69,97.31,98.03,19454124,28583042.3
2018-05-15T13:30:00Z,97.24,97.85,96.34,97.32,24594010,28474192.8
2018-05-16T13:30:00Z,97.36,97.4,96.615,97.15,17384742,28291265.55
2018-05-17T13:30:00Z,96.76,97.5401,95.83,96.18,17246716,27975974.3
2018-05-18T13:30:00Z,96.01,96.93,96.01,96.36,17865840,27311547.45
2018-05-21T13:30:00Z,97,98.01,96.8,97.6,19422467,27166079.35
2018-05-22T13:30:00Z,97.68,98.17,97.2,97.5,15441189,26211898.85
2018-05-23T13:30:00Z,96.71,98.73,96.32,98.66,21251222,25587997.1
2018-05-24T13:30:00Z,98.725,98.94,96.81,98.31,26649287,24794009.3
2018-05-25T13:30:00Z,98.3,98.98,97.86,98.36,18363918,23298566.2
2018-05-29T13:30:00Z,97.84,98.88,97.23,98.01,28670981,22655935
2018-05-30T13:30:00Z,98.31,99.25,97.91,98.95,22158528,22193415.05
2018-05-31T13:30:00Z,99.29,99.99,98.61,98.84,34140891,22526909.5
2018-06-01T13:30:00Z,99.2798,100.86,99.17,100.79,28655624,22402565.85
2018-06-04T13:30:00Z,101.26,101.86,100.851,101.67,27281623,22640080.75
2018-06-05T13:30:00Z,102,102.33,101.53,102.19,23514402,22603699.9
2018-06-06T13:30:00Z,102.48,102.6,101.9,102.49,21122917,22485616.3
2018-06-07T13:30:00Z,102.65,102.69,100.38,100.88,28232197,22530855.65
2018-06-08T13:30:00Z,101.0924,101.95,100.54,101.63,22165128,22519706.1
2018-06-11T13:30:00Z,101.37,101.59,100.67,101.05,23490894,22855335
2018-06-12T13:30:00Z,101.1,101.4493,100.75,101.31,18325228,22798890.2
2018-06-13T13:30:00Z,101.72,102.01,100.56,100.85,29492875,23043833.45
2018-06-14T13:30:00Z,101.65,102.03,101,101.42,25691811,23459186.9
2018-06-15T13:30:00Z,101.51,101.53,100.07,100.13,65738585,25883780.35
2018-06-18T13:30:00Z,100.01,101.11,99.42,100.86,23586037,26169790.2
2018-06-19T13:30:00Z,99.65,101,99.5,100.86,28653087,26631321.2
2018-06-20T13:30:00Z,101.37,102.52,101.12,101.87,26180792,27168301.35
2018-06-21T13:30:00Z,102.075,102.46,100.88,101.14,23198188,27265649.65
2018-06-22T13:30:00Z,100.41,100.77,99.625,100.41,38923105,27879340.55
2018-06-25T13:30:00Z,100,100.11,97.3,98.39,35433333,28732811.3
2018-06-26T13:30:00Z,98.82,100.08,98.75,99.08,26897244,28644124.45
2018-06-27T13:30:00Z,99.58,100.02,97.4,97.54,31298386,29101117.35
2018-06-28T13:30:00Z,97.38,99.11,97.26,98.63,26650671,28726606.35
2018-06-29T13:30:00Z,98.93,99.91,98.33,98.61,28053214,28696485.85
2018-07-02T13:30:00Z,98.1,100.06,98,100.01,19564521,28310630.75
2018-07-03T13:30:00Z,100.48,100.63,98.94,99.05,14670275,27868424.4
2018-07-05T13:30:00Z,99.5,99.92,99.0299,99.76,18977402,27761148.65
2018-07-06T13:30:00Z,99.885,101.43,99.67,101.16,19234627,27311270.15
2018-07-09T13:30:00Z,101.6452,102.25,101.251,101.85,18211980,27113612.75
2018-07-10T13:30:00Z,102,102.51,101.86,102.12,19293140,26903725.05
2018-07-11T13:30:00Z,101.15,102.34,101.1,101.98,19644648,26969696.05
2018-07-12T13:30:00Z,102.77,104.41,102.73,104.19,24335929,26711848.75
2018-07-13T13:30:00Z,104.37,105.6,104.09,105.43,24653500,26659933.2
2018-07-16T13:30:00Z,105.4,105.82,104.515,104.91,21786912,24462349.55
2018-07-17T13:30:00Z,104.61,106.5,104.32,105.95,25901726,24578134
2018-07-18T13:30:00Z,105.94,106.05,104.715,105.12,29493927,24620176
2018-07-19T13:30:00Z,104.93,105.31,103.89,104.4,40171646,25319718.7
2018-07-20T13:30:00Z,108.08,108.2,106.08,106.27,56038827,26961750.65
2018-07-23T13:30:00Z,106.3,108.14,106.13,107.97,29706955,26500943.15
2018-07-24T13:30:00Z,108.57,108.82,107.26,107.66,26316619,26045107.45
2018-07-25T13:30:00Z,107.955,111.15,107.6,110.83,30798058,26240148.15
2018-07-26T13:30:00Z,110.74,111,109.5,109.62,31372110,26243834.35
2018-07-27T13:30:00Z,110.18,110.18,106.14,107.68,37005292,26761565.4
2018-07-30T13:30:00Z,107.19,107.53,104.76,105.37,34668327,27092321.05
2018-07-31T13:30:00Z,106.49,106.72,105.38,106.08,27655152,27496852.6
2018-08-01T13:30:00Z,106.03,106.446,105.42,106.28,23628699,27944773.8
2018-08-02T13:30:00Z,105.4,108.09,104.84,107.57,26104258,28301116.6
2018-08-03T13:30:00Z,107.8,108.05,106.82,108.04,18659599,28272365.2
2018-08-06T13:30:00Z,108.12,108.42,107.559,108.13,20265947,28375063.55
2018-08-07T13:30:00Z,108.56,109.1,108.17,108.88,16080214,28214417.25
2018-08-08T13:30:00Z,109.33,109.75,108.7599,109.49,15487502,28006559.95
2018-08-09T13:30:00Z,109.71,110.16,109.6,109.67,13677211,27473624.05
2018-08-10T13:30:00Z,109.42,109.69,108.38,109,18183724,27150135.25
2018-08-13T13:30:00Z,109.24,109.58,108.1,108.21,18474884,26984533.85
2018-08-14T13:30:00Z,108.56,109.75,108.04,109.56,16788314,26528863.25
2018-08-15T13:30:00Z,108.49,108.985,106.82,107.66,29982806,26553307.2
2018-08-16T13:30:00Z,108.3,108.86,107.3,107.64,21384289,25613939.35
2018-08-17T13:30:00Z,107.36,107.9,106.69,107.58,18061512,23715073.6
2018-08-20T13:30:00Z,107.51,107.9,106.48,106.87,17914201,23125435.9
2018-08-21T13:30:00Z,106.92,107.35,105.85,105.98,22881861,22953698
2018-08-22T13:30:00Z,105.85,107.34,105.78,107.06,18000639,22313827.05
2018-08-23T13:30:00Z,107.15,108.18,106.87,107.56,18167723,21653607.7
2018-08-24T13:30:00Z,107.67,108.56,107.56,108.4,17234020,20665044.1
2018-08-27T13:30:00Z,109.27,109.64,108.51,109.6,19662331,19914744.3
2018-08-28T13:30:00Z,109.94,110.5,109.79,110.26,19151528,19489563.1
2018-08-29T13:30:00Z,110.45,112.03,110.27,112.02,20818044,19349030.35
2018-08-30T13:30:00Z,111.67,112.61,111.44,111.95,22798702,19183752.55
2018-08-31T13:30:00Z,111.685,112.777,111.515,112.33,23222713,19411908.25
2018-09-04T13:30:00Z,110.85,111.955,110.22,111.71,22634641,19530342.95
2018-09-05T13:30:00Z,111.01,111.42,108.1,108.49,32872352,20369949.85
2018-09-06T13:30:00Z,108.25,108.99,107.51,108.74,23477624,20769455.95
2018-09-07T13:30:00Z,108.23,108.7248,107.23,108.21,22498646,21210527.7
2018-09-10T13:30:00Z,108.84,109.64,108.36,109.38,20727906,21337736.8
2018-09-11T13:30:00Z,108.9,111.59,108.89,111.24,24301774,21629081.3
2018-09-12T13:30:00Z,111.43,111.85,110.51,111.71,18891064,21734218.8
2018-09-13T13:30:00Z,112.12,113.725,112.12,112.91,26055620,21537859.5
2018-09-14T13:30:00Z,113.36,113.73,112.44,113.37,19122349,21424762.5
2018-09-17T13:30:00Z,113.69,113.7,111.86,112.14,20736516,21558512.7
2018-09-18T13:30:00Z,112.19,113.695,111.72,113.21,22170934,21771349.35
2018-09-19T13:30:00Z,113.05,113.32,111.035,111.7,21728429,21713677.75
2018-09-20T13:30:00Z,112.28,113.8,111.93,113.57,23714512,21999371.4
2018-09-21T13:30:00Z,114,115.29,113.51,114.26,71229698,24652470.15
2018-09-24T13:30:00Z,113.03,114.9,112.2175,114.67,27334460,25157492.15
2018-09-25T13:30:00Z,114.8,115.1,113.75,114.45,22668014,25307776.3
2018-09-26T13:30:00Z,114.47,115.055,113.74,113.98,19352025,25317801.15
2018-09-27T13:30:00Z,114.78,114.91,114.2,114.41,19091299,25231463.9
2018-09-28T13:30:00Z,114.19,114.57,113.68,114.37,21647811,25173919.35
2018-10-01T13:30:00Z,114.75,115.68,114.73,115.61,18883079,24956937.65
2018-10-02T13:30:00Z,115.3,115.84,114.44,115.15,20787239,24864567.55
2018-10-03T13:30:00Z,115.42,116.18,114.93,115.17,16648018,24053350.85
2018-10-04T13:30:00Z,114.61,114.7588,111.63,112.79,34821717,24620555.5
2018-10-05T13:30:00Z,112.63,113.17,110.64,112.13,29068859,24949066.15
2018-10-08T13:30:00Z,111.66,112.03,109.34,110.85,29640588,25394700.25
2018-10-09T13:30:00Z,111.14,113.08,110.8,112.26,26198594,25489541.25
2018-10-10T13:30:00Z,111.24,111.5,105.79,106.16,61376315,27613803.8
2018-10-11T13:30:00Z,105.35,108.93,104.2,105.91,63904282,29506236.9
2018-10-12T13:30:00Z,109.01,111.24,107.12,109.57,47742109,30937224.9
2018-10-15T13:30:00Z,108.91,109.48,106.9468,107.6,32068103,31503804.25
2018-10-16T13:30:00Z,109.54,111.41,108.95,111,31610164,31975765.75
2018-10-17T13:30:00Z,111.68,111.81,109.5482,110.71,26548243,32216756.45
2018-10-18T13:30:00Z,110.1,110.53,107.83,108.5,32506192,32656340.45
2018-10-19T13:30:00Z,108.93,110.86,108.21,108.66,32785475,30734129.3
2018-10-22T13:30:00Z,109.32,110.54,108.24,109.63,26545607,30694686.65
2018-10-23T13:30:00Z,107.77,108.97,105.11,108.1,43770429,31749807.4
2018-10-24T13:30:00Z,108.41,108.49,101.5901,102.32,63897759,33977094.1
2018-10-25T13:30:00Z,106.55,109.27,106.15,108.3,61646819,36104870.1
2018-10-26T13:30:00Z,105.69,108.75,104.76,106.96,55523104,37798634.75
2018-10-29T13:30:00Z,108.105,108.7,101.63,103.85,55162001,39612580.85
2018-10-30T13:30:00Z,103.66,104.38,100.11,103.73,65350878,41840762.8
2018-10-31T13:30:00Z,105.435,108.14,105.39,106.81,51062383,43561481.05
2018-11-01T13:30:00Z,107.05,107.32,105.53,105.92,33384201,43489605.25
2018-11-02T13:30:00Z,106.48,107.32,104.975,106.16,37680194,43920172
2018-11-05T14:30:00Z,106.37,107.74,105.9,107.51,27922144,43834249.8
2018-11-06T14:30:00Z,107.38,108.84,106.28,107.72,24340248,43741332.5
2018-11-07T14:30:00Z,109.44,112.24,109.4,111.96,37901704,42567601.95
2018-11-08T14:30:00Z,111.8,112.21,110.91,111.75,25644105,40654593.1
2018-11-09T14:30:00Z,110.85,111.45,108.76,109.57,32039223,39869448.8
