time,open,high,low,close,Volume,Volume MA
2017-11-06T14:30:00Z,200,202.48,198.09,200.13,5846581,8226966.65
2017-11-07T14:30:00Z,200,200.61,194.8,195.89,6467969,8238673.95
2017-11-08T14:30:00Z,196,197.09,194.74,196.44,4237398,8128035.8
2017-11-09T14:30:00Z,194.46,194.49,190.81,193.9,5979925,8039365
2017-11-10T14:30:00Z,191.61,192.59,189.5,192.02,6622168,7766410.8
2017-11-13T14:30:00Z,191.12,196.05,191,195.08,4606951,6891486.25
2017-11-14T14:30:00Z,193.64,195.88,193,195.71,3450513,5869006
2017-11-15T14:30:00Z,194.54,195.42,191.53,192.12,4203072,5519212.7
2017-11-16T14:30:00Z,194.33,197.7,193.75,195.51,5678355,5451400.35
2017-11-17T14:30:00Z,195.74,195.95,192.65,193.2,3906333,5346938.6
2017-11-20T14:30:00Z,193.3,194.32,191.9,194.1,3827474,5189312.6
2017-11-21T14:30:00Z,195.04,197.52,194.971,196.23,4787311,5075222.75
2017-11-22T14:30:00Z,196.58,196.75,193.63,196.32,5895402,5104229.4
2017-11-24T14:30:00Z,196.65,196.9,195.33,195.75,1902619,4940068.85
2017-11-27T14:30:00Z,195.56,195.85,194,195.05,3210145,4694147.75
2017-11-28T14:30:00Z,195.34,199.68,194.01,199.18,6981094,4771224.3
2017-11-29T14:30:00Z,198.91,199.029,184.32,188.15,14202713,5205430.2
2017-11-30T14:30:00Z,190.31,190.86,186.68,187.58,6630051,5286061.75
2017-12-01T14:30:00Z,186.99,189.8,185,186.82,6219531,5416721.7
2017-12-04T14:30:00Z,189.36,189.72,178.38,184.04,9069765,5686268.5
2017-12-05T14:30:00Z,183.5,188.14,181.19,184.21,5783697,5683124.3
2017-12-06T14:30:00Z,183.38,186.4844,182.88,185.3,5490088,5634230.25
2017-12-07T14:30:00Z,185.71,187.34,183.22,185.2,4659542,5655337.45
2017-12-08T14:30:00Z,186.5,189.42,186.3,188.54,4987270,5605704.7
2017-12-11T14:30:00Z,187.85,189.42,185.91,186.22,5298583,5539525.45
2017-12-12T14:30:00Z,186.01,187.85,184.8183,185.73,4265907,5522473.25
2017-12-13T14:30:00Z,186.1,188.69,185.41,187.86,4710041,5585449.65
2017-12-14T14:30:00Z,187.98,192.64,187.2,189.56,7792849,5764938.5
2017-12-15T14:30:00Z,189.61,191.43,188.01,190.12,7285641,5845302.8
2017-12-18T14:30:00Z,191.2,191.65,188.9,190.42,5010961,5900534.2
2017-12-19T14:30:00Z,190.18,190.2981,185.75,187.02,7032978,6060809.4
2017-12-20T14:30:00Z,187.94,189.11,185.26,188.82,6545394,6148713.55
2017-12-21T14:30:00Z,189.44,190.95,187.58,188.62,4729836,6090435.25
2017-12-22T14:30:00Z,188.33,190.95,186.8,189.94,3878904,6189249.5
2017-12-26T14:30:00Z,189.78,189.94,186.4,187.76,3045652,6181024.85
2017-12-27T14:30:00Z,187.8,188.1,185.22,186.24,4002098,6032075.05
2017-12-28T14:30:00Z,187.18,194.49,186.85,192.71,10107392,5827309
2017-12-29T14:30:00Z,192.51,193.95,191.22,191.96,5187606,5755186.75
2018-01-02T14:30:00Z,196.1,201.65,195.42,201.07,10966889,5992554.65
2018-01-03T14:30:00Z,202.05,206.21,201.5,205.05,8591369,5968634.85
2018-01-04T14:30:00Z,206.2,207.05,204.0006,205.63,6029616,5980930.8
2018-01-05T14:30:00Z,207.25,210.02,205.59,209.99,7033240,6058088.4
2018-01-08T14:30:00Z,210.02,212.5,208.44,212.05,5580178,6104120.2
2018-01-09T14:30:00Z,212.11,212.98,208.59,209.31,6125855,6161049.45
2018-01-10T14:30:00Z,207.57,213.64,206.91,212.52,5951486,6193694.6
2018-01-11T14:30:00Z,214.29,217.75,213.35,217.24,7659485,6363373.5
2018-01-12T14:30:00Z,217.18,222.55,216,221.23,8199423,6537842.6
2018-01-16T14:30:00Z,224.24,226.07,217.2,221.53,13516067,6824003.5
2018-01-17T14:30:00Z,221,221.15,216.32,217.5,9123056,6915874.25
2018-01-18T14:30:00Z,220.34,220.58,216.55,220.33,8225339,7076593.15
2018-01-19T14:30:00Z,222.75,223.49,218.5,220.46,10548567,7252372.6
2018-01-22T14:30:00Z,222,227.785,221.2,227.58,17703293,7810267.55
2018-01-23T14:30:00Z,255.05,257.71,248.02,250.29,27705332,8959042.35
2018-01-24T14:30:00Z,250.88,261.71,249.311,261.3,17352448,9632719.55
2018-01-25T14:30:00Z,263,272.3,260.23,269.7,15336378,10247255.85
2018-01-26T14:30:00Z,271.485,274.6,268.76,274.6,11021839,10598242.9
2018-01-29T14:30:00Z,274.2,286.81,273.92,284.59,17529749,10969360.75
2018-01-30T14:30:00Z,277,282.73,272.7,278.8,12482852,11334123.05
2018-01-31T14:30:00Z,281.94,282.289,269.58,270.3,11695072,11370532.2
2018-02-01T14:30:00Z,266.41,271.95,263.38,265.07,9669011,11424414.3
2018-02-02T14:30:00Z,263,270.62,262.71,267.43,9123610,11579114
2018-02-05T14:30:00Z,262,267.899,250.03,254.26,11896053,11822254.65
2018-02-06T14:30:00Z,247.7,266.7,245,265.72,12595801,12173035.8
2018-02-07T14:30:00Z,266.58,272.45,264.325,264.56,8981548,12315820.45
2018-02-08T14:30:00Z,267.08,267.62,250,250.1,9306701,12483581.2
2018-02-09T14:30:00Z,253.85,255.7999,236.11,249.47,16906942,12945954.05
2018-02-12T14:30:00Z,252.14,259.15,249,257.95,8534906,12962728.2
2018-02-13T14:30:00Z,257.29,261.41,254.7,258.27,6855151,12629682.4
2018-02-14T14:30:00Z,260.47,269.88,260.33,266,10971985,12722128.85
2018-02-15T14:30:00Z,270.03,280.5,267.63,280.27,10759667,12848845.25
2018-02-16T14:30:00Z,278.73,281.96,275.69,278.52,8312380,12737035.9
2018-02-20T14:30:00Z,277.74,285.812,276.61,278.55,7769023,12240322.4
2018-02-21T14:30:00Z,282.07,286.64,280.01,281.04,9371121,11323611.85
2018-02-22T14:30:00Z,283.88,284.5,274.45,278.14,8891535,10900566.2
2018-02-23T14:30:00Z,281,286,277.81,285.93,7301809,10498837.75
2018-02-26T14:30:00Z,288.75,295.6475,287.01,294.16,10268633,10461177.45
2018-02-27T14:30:00Z,294.77,297.36,290.59,290.61,9416489,10055514.45
2018-02-28T14:30:00Z,293.1,295.75,290.78,291.38,7653454,9814044.55
2018-03-01T14:30:00Z,292.75,295.25,283.83,290.39,11932051,9825893.5
2018-03-02T14:30:00Z,284.65,301.18,283.23,301.05,13345313,10009708.6
2018-03-05T14:30:00Z,302.85,316.91,297.6,315,18986099,10502833.05
2018-03-06T14:30:00Z,319.88,325.79,316.5,325.22,18525844,10834322.6
2018-03-07T14:30:00Z,320,323.74,314.55,321.16,17132222,11061143.65
2018-03-08T14:30:00Z,322.2,322.9176,314.13,317,11340066,11179069.55
2018-03-09T14:30:00Z,321.33,331.44,320.23,331.44,14500219,11438745.45
2018-03-12T13:30:00Z,333.56,333.98,318.6,321.3,20369152,11611855.95
2018-03-13T13:30:00Z,323.87,325.8409,313.278,315.88,12917224,11830971.85
2018-03-14T13:30:00Z,318.16,323.88,317.7,321.55,10475073,12011967.95
2018-03-15T13:30:00Z,323.17,323.4,318.14,321.09,5642883,11745512.85
2018-03-16T13:30:00Z,321.42,324.11,318.37,318.45,7333734,11574216.2
2018-03-19T13:30:00Z,315.8,317,307.34,313.48,9925162,11654855.3
2018-03-20T13:30:00Z,313.26,319.5,312.8,317.5,5991945,11566001.4
2018-03-21T13:30:00Z,316.35,319.4,314.511,316.48,5263911,11360640.9
2018-03-22T13:30:00Z,313.07,314.12,305.66,306.7,8063305,11319229.4
2018-03-23T13:30:00Z,307.41,310.73,300.36,300.94,9529948,11430636.35
2018-03-26T13:30:00Z,309.36,321.03,302,320.35,11988274,11516618.4
2018-03-27T13:30:00Z,322.49,322.9,297,300.69,12068632,11649225.55
2018-03-28T13:30:00Z,298.39,298.8,281.61,285.77,18972912,12215198.45
2018-03-29T13:30:00Z,287,295.35,275.9,295.35,19145522,12575872
2018-04-02T13:30:00Z,291.94,292.87,275.05,280.29,13405760,12578894.35
2018-04-03T13:30:00Z,285.45,291.25,278.01,283.67,12694862,12264332.5
2018-04-04T13:30:00Z,273.63,290.31,271.2239,288.94,12913978,11983739.2
2018-04-05T13:30:00Z,293.15,299.16,289.11,293.97,10655178,11659887
2018-04-06T13:30:00Z,289.1,298.85,285.65,288.85,11444777,11665122.55
2018-04-09T13:30:00Z,291.77,299.55,289.12,289.93,9853564,11432789.8
2018-04-10T13:30:00Z,297.68,298.95,291.69,298.07,10719097,10950287.05
2018-04-11T13:30:00Z,302.8847,311.64,301.82,303.67,14877429,11048297.3
2018-04-12T13:30:00Z,309.7187,311.13,306.75,309.25,10249403,11037013.8
2018-04-13T13:30:00Z,317.29,317.49,308.23,311.65,12046573,11357198.3
2018-04-16T13:30:00Z,315.99,316.1,304,307.78,20307921,12005907.65
2018-04-17T13:30:00Z,329.66,338.62,323.77,336.06,33866456,13202972.35
2018-04-18T13:30:00Z,336.3,338.82,331.1,334.52,11221139,13464432.05
2018-04-19T13:30:00Z,332.88,335.31,326.77,332.7,8438825,13623177.75
2018-04-20T13:30:00Z,332.22,336.51,326,327.77,9158655,13677945.25
2018-04-23T13:30:00Z,329.1499,331.22,317.08,318.69,8968015,13649848.6
2018-04-24T13:30:00Z,319.2168,320.249,302.31,307.02,13893217,13745095.75
2018-04-25T13:30:00Z,306.37,309.98,292.615,305.76,14919698,13887649.05
2018-04-26T13:30:00Z,310,316.63,305.58,313.98,9266699,13402338.4
2018-04-27T13:30:00Z,316.25,317.45,306.5,311.76,7074384,12798781.5
2018-04-30T13:30:00Z,311.07,317.88,310.118,312.46,6088787,12432932.85
2018-05-01T13:30:00Z,310.36,313.48,306.69,313.3,6036639,12100021.7
2018-05-02T13:30:00Z,311.65,317.1,310.4034,313.36,5697120,11739178.8
2018-05-03T13:30:00Z,312.59,312.59,305.73,311.69,6135828,11513211.3
2018-05-04T13:30:00Z,308.71,320.98,307.67,320.09,8209513,11351448.1
2018-05-07T13:30:00Z,321.9947,329.0234,319.34,326.26,7117823,11214661.05
2018-05-08T13:30:00Z,325.9,327.348,323.05,326.89,4735738,10915493.1
2018-05-09T13:30:00Z,328.79,331.95,327.51,330.3,5633444,10453293.85
2018-05-10T13:30:00Z,331.5,332.055,327.3438,329.6,5302254,10205936.4
2018-05-11T13:30:00Z,329.65,331.26,324.87,326.46,4589731,9833094.3
2018-05-14T13:30:00Z,327.25,330.5038,327.04,328.53,4089800,9022188.25
2018-05-15T13:30:00Z,325.94,326.94,322.434,326.13,4746096,7566170.25
2018-05-16T13:30:00Z,326.28,329.72,325.14,328.19,3671690,7188697.8
2018-05-17T13:30:00Z,327.53,330.45,323.1734,325.22,4935708,7013541.95
2018-05-18T13:30:00Z,324.9,326.42,322.8,324.18,3577717,6734495.05
2018-05-21T13:30:00Z,327.11,331.88,325.45,331.82,6657326,6618960.6
2018-05-22T13:30:00Z,334.05,336.63,331.15,331.62,5964448,6222522.15
2018-05-23T13:30:00Z,329.04,345,328.09,344.72,10049147,5978994.6
2018-05-24T13:30:00Z,344.34,354,341.12,349.29,14758553,6253587.3
2018-05-25T13:30:00Z,349.9,354.36,348.83,351.29,7817400,6290738.1
2018-05-29T13:30:00Z,351.5,356.1,346.71,349.73,9717921,6472194.8
2018-05-30T13:30:00Z,352.37,354,349.26,353.54,5685531,6454639.4
2018-05-31T13:30:00Z,353.8,355.53,350.21,351.6,6921687,6515867.75
2018-06-01T13:30:00Z,353.88,359.99,352.82,359.93,7112292,6564690.95
2018-06-04T13:30:00Z,362.6847,363,355.51,361.81,7681995,6538315.05
2018-06-05T13:30:00Z,363.32,369.83,361.4124,365.8,8358045,6600326.15
2018-06-06T13:30:00Z,367.7848,369.6799,363.33,367.45,7712302,6749154.35
2018-06-07T13:30:00Z,368.54,368.7,357.8,361.4,8278040,6881384.15
2018-06-08T13:30:00Z,358.06,362.39,356.25,360.57,5225736,6877558.25
2018-06-11T13:30:00Z,361.88,365.67,360.91,361.45,4432445,6869693.95
2018-06-12T13:30:00Z,363.6,365.98,362,363.83,4290969,6879752.4
2018-06-13T13:30:00Z,367.53,384.2537,364.11,379.93,18222799,7553587.55
2018-06-14T13:30:00Z,384.27,395.03,383.25,392.87,14598333,8099919.7
2018-06-15T13:30:00Z,390.71,398.86,387.51,391.98,13588114,8532540
2018-06-18T13:30:00Z,387.72,393.16,386.5,390.4,6824794,8694893.85
2018-06-19T13:30:00Z,389.5,405.29,388.5,404.98,16697104,9196882.75
2018-06-20T13:30:00Z,415.15,419.4675,409.6,416.76,16494572,9723388.95
2018-06-21T13:30:00Z,421.38,423.2056,406.3701,415.44,18389936,10140428.4
2018-06-22T13:30:00Z,419.98,420.5,409.651,411.09,10428621,9923931.8
2018-06-25T13:30:00Z,404.69,405.99,378.75,384.48,22490922,10657607.9
