time,open,high,low,close,Volume,Volume MA
2017-11-09T14:30:00Z,64.91,65.33,63.93,64.6,15954868,18051295.55
2017-11-10T14:30:00Z,64.36,65.1,63.92,64.57,9626215,18182325.65
2017-11-13T14:30:00Z,64.96,66.82,64.75,66.49,24411576,19106358.35
2017-11-14T14:30:00Z,66.16,66.8,65.55,66,14036706,19425050.3
2017-11-15T14:30:00Z,65.55,66.4838,65.24,65.61,10565358,19651686.6
2017-11-16T14:30:00Z,65.77,66.54,65.43,66.11,12339789,19927416.8
2017-11-17T14:30:00Z,66.37,66.95,66,66.72,13334026,20151868.2
2017-11-20T14:30:00Z,66.18,66.85,65.95,66.47,9749407,20150566.55
2017-11-21T14:30:00Z,65.35,66.93,65.27,66.67,11215825,20140574.15
2017-11-22T14:30:00Z,66.37,68.26,66.24,68.13,15489438,20535972.75
2017-11-24T14:30:00Z,68.51,69.28,68.45,68.91,9196594,20732264.2
2017-11-27T14:30:00Z,68.6,68.92,68.04,68.14,20404556,21304372.2
2017-11-28T14:30:00Z,67.59,68.41,67.22,68.38,12861265,21593361.95
2017-11-29T14:30:00Z,68.1,68.2,66.03,66.52,17022156,20948765.1
2017-11-30T14:30:00Z,66.51,67.1,65.72,66.34,15555625,20945326.2
2017-12-01T14:30:00Z,65.2,66.12,64.6,65.49,15851119,20870993.25
2017-12-04T14:30:00Z,65.6,65.7,63.8,64.56,17325125,17689022.65
2017-12-05T14:30:00Z,64.85,65.03,64.4,64.69,9661166,15227042.6
2017-12-06T14:30:00Z,64.64,65.68,64.36,64.98,6952250,14403424.4
2017-12-07T14:30:00Z,65.21,65.55,64.77,65.23,8754971,13515401.75
2017-12-08T14:30:00Z,65.6,65.6,63.88,64.24,9371913,13186254
2017-12-11T14:30:00Z,64.06,65.2631,64,65.18,12184961,13314191.3
2017-12-12T14:30:00Z,64.88,65.11,64.55,64.86,7021185,12444671.75
2017-12-13T14:30:00Z,64.98,65.425,64.83,64.9,6490388,12067355.85
2017-12-14T14:30:00Z,64.86,65.17,64.545,64.7,7122048,11895190.35
2017-12-15T14:30:00Z,65.33,65.42,64.5,64.76,18832972,12219849.5
2017-12-18T14:30:00Z,64.93,65.46,64.8,65.38,7440906,11925193.5
2017-12-19T14:30:00Z,65.11,65.48,64.43,64.5,7130029,11794224.6
2017-12-20T14:30:00Z,64.56,65.17,64.33,64.6,6933634,11580115.05
2017-12-21T14:30:00Z,64.75,64.9604,64.34,64.39,5451094,11078197.85
2017-12-22T14:30:00Z,64.31,64.98,64.3,64.73,4444293,10840582.8
2017-12-26T14:30:00Z,64.49,64.94,64.2,64.3,4236525,10032181.25
2017-12-27T14:30:00Z,64.32,64.64,64.18,64.54,4899624,9634099.2
2017-12-28T14:30:00Z,64.69,64.73,64.35,64.38,2451309,8905556.85
2017-12-29T14:30:00Z,64.36,64.65,64,64.02,6631823,8459366.75
2018-01-02T14:30:00Z,64.38,65.33,64.17,65.2,6329553,7983288.45
2018-01-03T14:30:00Z,65.22,66.06,64.69,65.94,6844206,7459242.5
2018-01-04T14:30:00Z,66.18,66.53,65.91,66.03,5060121,7229190.25
2018-01-05T14:30:00Z,66.04,66.6,65.5,66.47,5421795,7152667.5
2018-01-08T14:30:00Z,66.25,66.53,65.94,66.27,4266861,6928262
2018-01-09T14:30:00Z,65.64,65.86,64.94,65.27,7632310,6841281.85
2018-01-10T14:30:00Z,65.48,65.74,64.88,65.26,6569307,6560499.15
2018-01-11T14:30:00Z,65.2,65.5,65.14,65.43,4233066,6421093.2
2018-01-12T14:30:00Z,65.61,65.9,65.08,65.38,5007161,6346931.85
2018-01-16T14:30:00Z,66.23,68.65,66.03,68.25,24478762,7214767.55
2018-01-17T14:30:00Z,68.52,68.9,67.24,68.02,12559107,6901074.3
2018-01-18T14:30:00Z,67.75,68.18,67.49,68.05,6797858,6868921.9
2018-01-19T14:30:00Z,68.04,68.25,67.75,68.04,8864282,6955634.55
2018-01-22T14:30:00Z,67.81,68.75,67.705,68.67,8566244,7037265.05
2018-01-23T14:30:00Z,68.6,68.895,68.24,68.34,7825572,7155988.95
2018-01-24T14:30:00Z,68.2,68.285,67.38,67.98,12383058,7552927.2
2018-01-25T14:30:00Z,68.14,68.37,67.29,67.42,9122225,7797212.2
2018-01-26T14:30:00Z,67.94,68.53,67.6,68.53,7918957,7948178.85
2018-01-29T14:30:00Z,68.16,68.3,67.24,67.32,9745261,8312876.45
2018-01-30T14:30:00Z,67.43,67.91,66.73,66.99,8059489,8384259.75
2018-01-31T14:30:00Z,67.55,68.38,67.46,68.25,13915637,8763563.95
2018-02-01T14:30:00Z,67,68.35,66.32,66.8,16838486,9263277.95
2018-02-02T14:30:00Z,66.18,67.04,65.86,66.07,10971652,9558854.5
2018-02-05T14:30:00Z,66.3,66.55,60.5,61.73,35995985,11087564
2018-02-06T14:30:00Z,62.31,64.53,62.2,64.4,24458674,12097154.65
2018-02-07T14:30:00Z,64.22,66.12,64.02,65.04,15021211,12466599.7
2018-02-08T14:30:00Z,64.63,65.07,62.4,62.42,13451577,12810713.2
2018-02-09T14:30:00Z,62.95,64.32,61.46,63.99,23094960,13753807.9
2018-02-12T14:30:00Z,64.89,65.7,64.39,65.66,13692129,14188056.3
2018-02-13T14:30:00Z,65.23,65.76,64.98,65.7,7695947,13348915.55
2018-02-14T14:30:00Z,65.15,66.8,65.1044,66.59,10370934,13239506.9
2018-02-15T14:30:00Z,66.38,66.38,63.86,65.28,15548429,13677035.45
2018-02-16T14:30:00Z,64.77,65.83,64.595,64.85,11760282,13821835.45
2018-02-20T14:30:00Z,63.01,64.14,61.86,63.99,27494591,14768252.8
2018-02-21T14:30:00Z,63.12,63.86,62.65,63.4,14895594,15121753.9
2018-02-22T14:30:00Z,63.15,63.58,62.03,62.18,11722256,15088713.8
2018-02-23T14:30:00Z,62.81,63.32,62.03,63.32,6762248,14970714.95
2018-02-26T14:30:00Z,64.55,67.3599,64.19,66.98,27374315,15943482.85
2018-02-27T14:30:00Z,67,67.629,66.01,66.34,14325999,16172519.75
2018-02-28T14:30:00Z,66.7,66.72,64.911,65,9582055,16248648.05
2018-03-01T14:30:00Z,65.03,66.2372,64.33,64.96,10799216,16092827
2018-03-02T14:30:00Z,64.31,64.85,64.03,64.74,10612696,15781537.5
2018-03-05T14:30:00Z,64.34,65.6,63.54,64.01,15445533,16005231.55
2018-03-06T14:30:00Z,63.5,63.55,61.06,62.14,23450350,15377949.8
2018-03-07T14:30:00Z,61.49,62.61,61.425,62.49,12602357,14785133.95
2018-03-08T14:30:00Z,62.65,62.74,61.5655,61.82,8902097,14479178.25
2018-03-09T14:30:00Z,62.36,63.06,62.12,63.03,7655312,14189365
2018-03-12T13:30:00Z,63.05,63.48,62.3,62.81,15801317,13824682.85
2018-03-13T13:30:00Z,59.77,61.4,59.13,59.7,38572747,15068713.75
2018-03-14T13:30:00Z,59.9,60.38,57.895,60.12,29759066,16171869.7
2018-03-15T13:30:00Z,60.03,60.28,59.56,59.89,10494322,16178039.1
2018-03-16T13:30:00Z,60.6,61.49,60.48,60.62,25574509,16679343.1
2018-03-19T13:30:00Z,60.19,60.35,57.9,58.37,14131356,16797896.8
2018-03-20T13:30:00Z,58.99,59.0899,57.95,58.26,10615366,15953935.55
2018-03-21T13:30:00Z,57.5,58.28,56.77,56.81,12231943,15820753
2018-03-22T13:30:00Z,56.24,56.83,55.52,55.58,13554586,15912369.5
2018-03-23T13:30:00Z,55.63,56.15,53.65,53.66,14713281,16309921.15
2018-03-26T13:30:00Z,54.58,56.14,54.25,56.13,12093907,15545900.75
2018-03-27T13:30:00Z,56.59,57.24,54.54,54.84,12243196,15441760.6
2018-03-28T13:30:00Z,54.81,55.97,54.455,54.7,12925503,15608933
2018-03-29T13:30:00Z,55.04,55.93,54.6217,55.41,8482462,15493095.3
2018-04-02T13:30:00Z,55.1,55.24,53.07,53.81,16469583,15785939.65
2018-04-03T13:30:00Z,54.29,55.05,53.62,54.78,7930674,15410196.7
2018-04-04T13:30:00Z,53.8,55.12,53.421,54.99,7496667,14612512.55
2018-04-05T13:30:00Z,55.49,55.5,54.44,55.04,5823253,14273557.35
2018-04-06T13:30:00Z,54.42,54.77,53.11,53.12,8322160,14244560.5
2018-04-09T13:30:00Z,53.52,54.89,53.34,53.43,7608458,14242217.8
2018-04-10T13:30:00Z,54.58,55.01,54.215,54.77,12331362,14068720.05
2018-04-11T13:30:00Z,54.19,55.07,54.15,55.01,6205294,12450347.4
2018-04-12T13:30:00Z,55.47,55.65,55.02,55.2,7412746,11333031.4
2018-04-13T13:30:00Z,56.61,56.79,55.4189,55.73,12588216,11437726.1
2018-04-16T13:30:00Z,55.94,55.99,54.57,54.77,7850467,10551524
2018-04-17T13:30:00Z,54.99,55.6767,54.78,55.35,7089710,10199441.7
2018-04-18T13:30:00Z,55.14,55.62,54.88,55.23,4796812,9908514
2018-04-19T13:30:00Z,54,54.14,52.5,52.57,19179461,10255889.9
2018-04-20T13:30:00Z,52.81,52.89,51.32,51.44,11838157,10170068.45
2018-04-23T13:30:00Z,51.5,51.81,50.27,50.53,10961471,9982477.95
2018-04-24T13:30:00Z,50.88,51.29,49.38,49.94,11670049,9961285.05
2018-04-25T13:30:00Z,50,50.44,48.87,49.75,9619236,9830087.05
2018-04-26T13:30:00Z,49.52,50.59,48.56,50.47,13683975,9868010.65
2018-04-27T13:30:00Z,50.75,51.36,50.49,51.11,9443094,9916042.25
2018-04-30T13:30:00Z,51.25,51.82,51,51.01,9469642,9566045.2
2018-05-01T13:30:00Z,50.76,51.05,50.04,50.82,6780517,9508537.35
2018-05-02T13:30:00Z,51.24,51.25,49.92,50.26,8142996,9540853.8
2018-05-03T13:30:00Z,49.99,50.544,49.31,50.31,8609168,9680149.55
2018-05-04T13:30:00Z,50.18,52.6,49.9194,52.49,9880580,9758070.55
2018-05-07T13:30:00Z,52.58,53.27,52.52,53.01,9571714,9856233.35
2018-05-08T13:30:00Z,53.04,53.27,52.105,52.86,9929970,9736163.75
2018-05-09T13:30:00Z,52.86,53.325,52.2,53.17,7016103,9776704.2
2018-05-10T13:30:00Z,54.45,55.07,53.945,54.97,12267198,10019426.8
2018-05-11T13:30:00Z,54.76,55.79,54.619,55.23,9639137,9871972.85
2018-05-14T13:30:00Z,57.33,57.8,56.34,56.74,15400256,10249462.3
2018-05-15T13:30:00Z,56.5,56.61,55.2204,55.64,12050469,10497500.25
2018-05-16T13:30:00Z,55.76,56.81,55.67,56.7,8675559,10691437.6
2018-05-17T13:30:00Z,56.49,57.3801,56.39,56.95,11450651,10304997.1
2018-05-18T13:30:00Z,56.93,57.99,56.396,57.51,11999712,10313074.85
2018-05-21T13:30:00Z,57.68,58.27,56.765,57.71,14286354,10479319
2018-05-22T13:30:00Z,57.91,58.36,57.07,57.39,9432465,10367439.8
2018-05-23T13:30:00Z,56.91,58.86,56.83,58.82,11322475,10452601.75
2018-05-24T13:30:00Z,58.58,59.25,58.05,59.08,12487193,10392762.65
2018-05-25T13:30:00Z,58.85,60,58.81,59.96,11501515,10495683.7
2018-05-29T13:30:00Z,59.5,59.5999,57.7,58.23,14696263,10757014.75
2018-05-30T13:30:00Z,58.41,58.65,57.66,58.39,9145989,10875288.35
2018-05-31T13:30:00Z,58,58.57,57.7601,58.12,12813170,11108797.05
2018-06-01T13:30:00Z,58.34,58.73,58.01,58.61,8869656,11121821.45
2018-06-04T13:30:00Z,58.62,58.87,57.95,58.71,9696722,11112628.55
2018-06-05T13:30:00Z,58.86,59.6002,58.76,58.98,6562650,10962175.35
2018-06-06T13:30:00Z,59.26,59.85,59.11,59.84,6236683,10777511
2018-06-07T13:30:00Z,62,62.65,60.22,60.64,14786130,11166012.35
2018-06-08T13:30:00Z,60.25,60.62,59.805,60.26,7035297,10904417.3
2018-06-11T13:30:00Z,60.17,60.415,59.82,59.93,7369462,10790933.55
2018-06-12T13:30:00Z,60.11,60.38,59.545,59.79,7153498,10378595.65
2018-06-13T13:30:00Z,59.67,60.23,59.12,59.22,9676268,10259885.6
2018-06-14T13:30:00Z,59.29,59.7,58.95,59.46,8372926,10244753.95
2018-06-15T13:30:00Z,59.87,59.95,58.92,59.86,13804932,10362468
2018-06-18T13:30:00Z,59.31,59.37,58.92,59.2,6946581,10109811.45
2018-06-19T13:30:00Z,58.28,58.735,57.85,58.7,7958317,9793409.6
2018-06-20T13:30:00Z,59.18,59.2,58.31,58.79,6526391,9648105.9
2018-06-21T13:30:00Z,59.21,59.21,58.39,58.75,6605359,9412250.1
2018-06-22T13:30:00Z,58.78,59.1,58.43,58.5,8074080,9191594.45
2018-06-25T13:30:00Z,58.09,58.14,56.61,57.05,8635917,9048314.55
2018-06-26T13:30:00Z,57.08,57.1455,56.31,56.45,8934723,8760237.55
2018-06-27T13:30:00Z,56.55,57.53,55.14,55.17,11832362,8894556.2
2018-06-28T13:30:00Z,55.12,56.46,55.09,55.9,11723595,8840077.45
2018-06-29T13:30:00Z,56.13,56.86,56.08,56.12,11274134,8960301.35
2018-07-02T13:30:00Z,55.4,56.22,55.12,56.18,7300077,8840469.1
2018-07-03T13:30:00Z,56.41,56.5298,55.25,55.33,3618923,8693282.75
2018-07-05T13:30:00Z,55.7,57.43,55.65,57.38,11728277,8967862.45
2018-07-06T13:30:00Z,57.46,58.07,57.03,57.84,8806155,8668863.7
2018-07-09T13:30:00Z,58.06,58.305,57.23,58.04,4577124,8545955.05
2018-07-10T13:30:00Z,58.06,58.47,57.95,58.37,6848928,8519928.35
2018-07-11T13:30:00Z,57.43,58.01,56.735,57.3,8702001,8597353.5
2018-07-12T13:30:00Z,57.85,58.49,57.31,58.32,8426804,8534880.3
2018-07-13T13:30:00Z,58.25,58.78,58.18,58.39,5266139,8379540.95
2018-07-16T13:30:00Z,58.42,58.84,58.06,58.35,5907106,7984649.65
2018-07-17T13:30:00Z,57.92,58.91,57.62,58.91,7560338,8015337.5
2018-07-18T13:30:00Z,59,59,58.37,58.76,6795436,7957193.45
2018-07-19T13:30:00Z,58.71,59.59,58.65,59.31,8150181,8038382.95
2018-07-20T13:30:00Z,58.98,59.18,58.4002,58.61,10861386,8251184.3
2018-07-23T13:30:00Z,58.4,59.21,57.815,59.08,8011821,8248071.35
2018-07-24T13:30:00Z,59.35,59.62,58.45,58.85,6637632,8148157.1
2018-07-25T13:30:00Z,58.55,59.5,57.76,59.42,13217035,8362272.7
2018-07-26T13:30:00Z,63.05,63.76,61.26,63.58,31025129,9321911.05
2018-07-27T13:30:00Z,63.22,63.51,62.22,62.69,13488834,9410173
2018-07-30T13:30:00Z,62.65,62.98,61.925,62.04,9547734,9323853
2018-07-31T13:30:00Z,63.83,64.655,63.5,64.09,22350776,10076387.95
2018-08-01T13:30:00Z,63.55,64.87,63.55,64.35,10706292,10430756.4
2018-08-02T13:30:00Z,63.96,65.04,63.64,64.77,10618467,10375265.9
2018-08-03T13:30:00Z,64.74,65.61,64.67,65.4,7809580,10325437.15
2018-08-06T13:30:00Z,65.86,66.02,65.33,65.73,10878769,10640519.4
2018-08-07T13:30:00Z,65.93,65.93,65.25,65.44,7810864,10688616.2
2018-08-08T13:30:00Z,65.21,65.55,65.12,65.16,7913105,10649171.4
2018-08-09T13:30:00Z,65.1,65.3,64.92,65.08,6630138,10559338.1
2018-08-10T13:30:00Z,64.65,64.935,64.4944,64.82,8735975,10732829.9
2018-08-13T13:30:00Z,65.15,65.23,64.65,64.84,7092425,10792095.85
2018-08-14T13:30:00Z,65.09,65.62,64.7749,65.43,7844231,10806290.5
2018-08-15T13:30:00Z,65.14,65.82,64.545,65.68,13524846,11142761
2018-08-16T13:30:00Z,65.86,66.1,65.5315,65.76,9958786,11233191.25
2018-08-17T13:30:00Z,65.5,66.19,65.12,66.06,15170471,11448645.5
2018-08-20T13:30:00Z,66.33,66.59,65.735,66.16,13966895,11746399.2
2018-08-21T13:30:00Z,66.09,66.775,66.03,66.55,12181407,12023587.95
