time,open,high,low,close,Volume,Volume MA
2017-11-09T14:30:00Z,56.5,56.569,55.63,56,5205022,5443704.7
2017-11-10T14:30:00Z,55.69,57.04,55.54,56.8,5758922,5612177.8
2017-11-13T14:30:00Z,56.8,56.89,55.91,56.44,4429054,5759143.75
2017-11-14T14:30:00Z,56.39,56.96,55.96,56.54,5035345,5944956.5
2017-11-15T14:30:00Z,56.8,56.99,56.18,56.69,3709910,5974662.55
2017-11-16T14:30:00Z,56.81,59.975,56.81,59.8,10397672,6272123.25
2017-11-17T14:30:00Z,59.55,60.07,58.96,60.02,7147568,6439693.35
2017-11-20T14:30:00Z,59.745,60.45,59.58,60.3,4225063,6312961.6
2017-11-21T14:30:00Z,61.1,61.25,60.23,60.41,5170174,6389204.55
2017-11-22T14:30:00Z,60.41,61.4297,60.41,61.35,6642982,6517997.9
2017-11-24T14:30:00Z,60.81,62.09,60.75,61.68,2129207,6482519.7
2017-11-27T14:30:00Z,62.2,62.93,61.29,62.78,5123646,6584469.8
2017-11-28T14:30:00Z,62.34,62.4125,61,61.38,5690627,6155624.25
2017-11-29T14:30:00Z,61.56,62.66,61.42,61.83,4090443,5992080.75
2017-11-30T14:30:00Z,61.89,62.4,60.75,61.07,7164094,6182685.1
2017-12-01T14:30:00Z,60.35,61.255,60.15,60.9,4973450,6137135.45
2017-12-04T14:30:00Z,61.2,61.78,60.2,60.24,3903416,6127424.3
2017-12-05T14:30:00Z,60.5,61.34,60.3,60.96,3634885,5459893.45
2017-12-06T14:30:00Z,60.53,62.25,59.96,62.12,5145821,5277914.95
2017-12-07T14:30:00Z,61.58,62.92,61.3956,61.92,4623018,5210015.95
2017-12-08T14:30:00Z,62.47,62.98,62.34,62.54,3714984,5135514.05
2017-12-11T14:30:00Z,62.56,63.47,62.56,63.07,3366685,5015902.2
2017-12-12T14:30:00Z,63.05,63.94,63.05,63.48,3608461,4974872.55
2017-12-13T14:30:00Z,63.74,64.47,63.65,63.83,6759344,5061072.5
2017-12-14T14:30:00Z,64.05,64.05,62.38,62.56,7010777,5226115.85
2017-12-15T14:30:00Z,62.47,63.48,62.15,62.66,6584805,5035472.5
2017-12-18T14:30:00Z,62.67,63.63,62.58,63.47,3382299,4847209.05
2017-12-19T14:30:00Z,63.52,64.64,63.49,63.64,5714357,4921673.75
2017-12-20T14:30:00Z,63.92,64,62.8,62.9,5545397,4940434.9
2017-12-21T14:30:00Z,63.35,63.67,63.11,63.52,3035896,4760080.6
2017-12-22T14:30:00Z,63.49,63.84,63.23,63.62,2313982,4769319.35
2017-12-26T14:30:00Z,62.95,64.12,62.93,63.79,1518106,4589042.35
2017-12-27T14:30:00Z,64.01,64.2,63.71,64.11,1958673,4402444.65
2017-12-28T14:30:00Z,64.24,64.64,64.06,64.35,1597212,4277783.1
2017-12-29T14:30:00Z,64.1,64.43,63.46,63.51,1844286,4011792.7
2018-01-02T14:30:00Z,63.9,64.52,63.54,64.04,2192384,3872739.4
2018-01-03T14:30:00Z,63.89,64.13,63.25,63.61,2610751,3808106.15
2018-01-04T14:30:00Z,63.89,64,62.88,63,2384413,3745582.55
2018-01-05T14:30:00Z,63.54,64.81,63.12,64.6,3293122,3652947.6
2018-01-08T14:30:00Z,64.46,65.98,64.31,65.1,3606314,3602112.4
2018-01-09T14:30:00Z,66,66.52,65.52,65.6,5334365,3683081.45
2018-01-10T14:30:00Z,65.18,65.19,63.61,63.89,3597007,3694597.55
2018-01-11T14:30:00Z,63.94,64.19,63.23,63.84,3149145,3671631.75
2018-01-12T14:30:00Z,64.16,64.26,63.51,63.68,3165322,3491930.65
2018-01-16T14:30:00Z,64.14,64.14,62.555,62.97,4669925,3374888.05
2018-01-17T14:30:00Z,63.4,64.45,62.93,63.76,2925563,3191925.95
2018-01-18T14:30:00Z,63.84,64.079,62.44,62.88,4088661,3227244.05
2018-01-19T14:30:00Z,62.75,63.83,62.75,63.71,4768292,3179940.8
2018-01-22T14:30:00Z,63.75,63.99,63.48,63.94,2390297,3022185.8
2018-01-23T14:30:00Z,64.02,64.8,63.66,64.53,2872359,3014008.95
2018-01-24T14:30:00Z,64.59,65.34,64.55,65,2894297,3043024.7
2018-01-25T14:30:00Z,65.4,65.45,64.33,64.39,2798467,3107042.75
2018-01-26T14:30:00Z,64.6,65.4,64.4,65.28,2028425,3110530.35
2018-01-29T14:30:00Z,64.75,64.97,64.35,64.6,2553712,3158355.35
2018-01-30T14:30:00Z,64.8,64.97,64.39,64.76,2018283,3167055.2
2018-01-31T14:30:00Z,64.54,65.32,64.27,65.1,2164862,3165679.1
2018-02-01T14:30:00Z,64.7,65.11,63.55,63.79,4258481,3248065.6
2018-02-02T14:30:00Z,63.84,64.32,63.32,63.59,2647186,3261204.25
2018-02-05T14:30:00Z,63.46,63.81,61.53,61.54,3489598,3271028.05
2018-02-06T14:30:00Z,60.03,61.98,60,60.85,5740555,3377740.1
2018-02-07T14:30:00Z,60.96,62.91,60.96,62.06,7319272,3476985.45
2018-02-08T14:30:00Z,61,62.5,58.86,58.88,8031434,3698706.8
2018-02-09T14:30:00Z,60.1,60.45,57.65,59.2,5150920,3798795.55
2018-02-12T14:30:00Z,59.66,60.06,58.07,58.12,4816884,3881373.65
2018-02-13T14:30:00Z,57.68,58.275,57.22,57.69,5378580,3916806.4
2018-02-14T14:30:00Z,57.35,58.8,57.06,58.62,6498644,4095460.45
2018-02-15T14:30:00Z,59.32,60.6097,58.19,60.44,6213412,4201698
2018-02-16T14:30:00Z,60.63,60.87,59.79,60.06,4812370,4203901.9
2018-02-20T14:30:00Z,60,60.83,59.6601,60.51,3058992,4237336.65
2018-02-21T14:30:00Z,61.09,61.09,59.39,59.42,2974477,4242442.55
2018-02-22T14:30:00Z,59.75,59.98,58.59,58.73,3066521,4251053.75
2018-02-23T14:30:00Z,59.39,60.08,58.64,60.06,4079694,4315115.1
2018-02-26T14:30:00Z,60,61.15,58.74,61.11,4472087,4437298.2
2018-02-27T14:30:00Z,61.04,61.17,59.93,59.94,4245377,4521881.45
2018-02-28T14:30:00Z,60.52,61.39,59.96,60.61,4176169,4629775.75
2018-03-01T14:30:00Z,60.78,62.4,60.48,61.9,5373176,4790191.45
2018-03-02T14:30:00Z,61.58,62.67,61.28,62.47,5207885,4837661.65
2018-03-05T14:30:00Z,62.01,63.12,62.01,62.95,3381000,4874352.35
2018-03-06T14:30:00Z,63.3,63.91,62.65,63.56,3791932,4889469.05
2018-03-07T14:30:00Z,63.57,64.995,63.21,64.56,6485533,4926717.95
2018-03-08T14:30:00Z,65,65.28,64.25,65.06,2848001,4703154.4
2018-03-09T14:30:00Z,65.3,65.78,65.12,65.25,3643991,4483782.25
2018-03-12T13:30:00Z,65.51,65.73,64.4275,64.55,2965366,4374504.55
2018-03-13T13:30:00Z,65.1,65.76,64.8,64.98,4421135,4354717.1
2018-03-14T13:30:00Z,65.23,65.64,64.5,64.78,3283564,4249966.3
2018-03-15T13:30:00Z,64.71,65.52,64.6101,64.71,2679361,4059002.15
2018-03-16T13:30:00Z,64.44,65,64.36,64.76,6054660,4051064.55
2018-03-19T13:30:00Z,64.68,64.8602,63.05,63.22,3690324,3994962.25
2018-03-20T13:30:00Z,63.32,64.11,62.69,62.78,2547755,3969400.4
2018-03-21T13:30:00Z,62.6,63.21,62.52,62.59,2577416,3949547.35
2018-03-22T13:30:00Z,61.84,62.07,61.21,61.25,4103486,4001395.6
2018-03-23T13:30:00Z,61.42,61.765,59.73,59.74,5137725,4054297.15
2018-03-26T13:30:00Z,60.7,61.63,60.18,61.39,3395284,4000457
2018-03-27T13:30:00Z,61.66,62.02,60.08,60.34,2462587,3911317.5
2018-03-28T13:30:00Z,60.55,61.71,60.36,60.87,2589719,3831995
2018-03-29T13:30:00Z,60.95,61.29,60.41,61.04,2703078,3698490.1
2018-04-02T13:30:00Z,60.4,60.83,59.29,59.62,2595109,3567851.3
2018-04-03T13:30:00Z,60.06,60.18,59.29,59.59,3168769,3557239.75
2018-04-04T13:30:00Z,59.05,60.09,58.91,59.75,5541589,3644722.6
2018-04-05T13:30:00Z,60.13,60.4475,59.5,59.81,5461331,3593512.5
2018-04-06T13:30:00Z,59.5,60.3,59.35,59.65,3581508,3630187.85
2018-04-09T13:30:00Z,59.77,60.4099,59.69,59.74,4183076,3657142.1
2018-04-10T13:30:00Z,60.38,64.56,60.2,63.13,20069334,4512340.5
2018-04-11T13:30:00Z,62.72,63.61,62.71,62.92,4766881,4529627.8
2018-04-12T13:30:00Z,63.09,63.48,62.93,63.02,2380707,4484484.95
2018-04-13T13:30:00Z,63.13,63.2,61.785,61.95,2669986,4484016.2
2018-04-16T13:30:00Z,62.35,63.035,61.81,62.75,1947166,4278641.5
2018-04-17T13:30:00Z,63,63.63,62.57,63.02,2957034,4241977
2018-04-18T13:30:00Z,63.08,63.36,62.59,62.9,2606441,4244911.3
2018-04-19T13:30:00Z,62.65,63.61,62.65,63.25,2826027,4257341.85
2018-04-20T13:30:00Z,63.27,63.57,62.93,63.09,2829424,4193638.75
2018-04-23T13:30:00Z,63.15,63.36,62.15,62.29,2649260,4069215.5
